selection1_name,selection1_url,selection1_Quality_Ingredients,selection1_Potential_Allergens,selection1_Questionable_Ingrediens,selection1_Numeric_Ingredient_name,selection1_Numeric_Ingredient_selection2,selection1_Ingredients,selection1_selection4
Primal Freeze-Dried Nuggets Chicken & Salmon,https://catfooddb.com/chewy/best-dry-cat-food/%252Fprimal-chicken-salmon-formula%252Fdp%252F43387,"chicken
chicken hearts
chicken necks
chicken livers
salmon",cod liver oil,None,Ash:,6.00%,"Chicken, Chicken Hearts, Chicken Necks, Chicken Livers, Salmon, Organic Pumpkin Seeds, Organic Sunflower Seeds, Organic Cranberries, Organic Blueberries, Organic Kale, Organic Squash, Organic Carrots, Organic Apples, Organic Broccoli, Organic Rosemary Extract, Organic Parsley, Organic Quinoa, Organic Apple Cider Vinegar, Fish Oil, Montmorillonite Clay, Organic Coconut Oil, Cod Liver Oil, Taurine, Vitamin E Supplement, Organic Ground Alfalfa, Dried Organic Kelp","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Primal Freeze-Dried Nuggets Chicken & Salmon,https://catfooddb.com/chewy/best-dry-cat-food/%252Fprimal-chicken-salmon-formula%252Fdp%252F43387,"chicken
chicken hearts
chicken necks
chicken livers
salmon",cod liver oil,None,Moisture:,8.00%,"Chicken, Chicken Hearts, Chicken Necks, Chicken Livers, Salmon, Organic Pumpkin Seeds, Organic Sunflower Seeds, Organic Cranberries, Organic Blueberries, Organic Kale, Organic Squash, Organic Carrots, Organic Apples, Organic Broccoli, Organic Rosemary Extract, Organic Parsley, Organic Quinoa, Organic Apple Cider Vinegar, Fish Oil, Montmorillonite Clay, Organic Coconut Oil, Cod Liver Oil, Taurine, Vitamin E Supplement, Organic Ground Alfalfa, Dried Organic Kelp","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
ZiwiPeak Air-Dried Venison Recipe,https://catfooddb.com/chewy/best-dry-cat-food/%252Fziwi-peak-air-dried-venison-cat-food%252Fdp%252F34565,"venison
venison tripe
venison heart
venison lung
venison liver
venison kidney",new zealand green mussel,None,Protein:,45.00%,"Venison, Venison Tripe, Venison Heart, Venison Lung, Venison Liver, Venison Kidney, New Zealand Green Mussel, Venison Bone, Lecithin, Inulin from Chicory, Dried Kelp, Minerals (Dipotassium Phosphate, Magnesium Sulfate, Zinc Amino Acid Complex, Copper Amino Acid Complex, Iron Amino Acid Complex, Manganese Amino Acid Complex, Sodium Selenite), Salt, Preservative (Citric Acid, Mixed Tocopherols), Vitamins (Choline Chloride, Thiamine Mononitrate, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), DL-Methionine, Taurine.","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
ZiwiPeak Air-Dried Venison Recipe,https://catfooddb.com/chewy/best-dry-cat-food/%252Fziwi-peak-air-dried-venison-cat-food%252Fdp%252F34565,"venison
venison tripe
venison heart
venison lung
venison liver
venison kidney",new zealand green mussel,None,Fat:,23.00%,"Venison, Venison Tripe, Venison Heart, Venison Lung, Venison Liver, Venison Kidney, New Zealand Green Mussel, Venison Bone, Lecithin, Inulin from Chicory, Dried Kelp, Minerals (Dipotassium Phosphate, Magnesium Sulfate, Zinc Amino Acid Complex, Copper Amino Acid Complex, Iron Amino Acid Complex, Manganese Amino Acid Complex, Sodium Selenite), Salt, Preservative (Citric Acid, Mixed Tocopherols), Vitamins (Choline Chloride, Thiamine Mononitrate, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), DL-Methionine, Taurine.","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
ZiwiPeak Air-Dried Venison Recipe,https://catfooddb.com/chewy/best-dry-cat-food/%252Fziwi-peak-air-dried-venison-cat-food%252Fdp%252F34565,"venison
venison tripe
venison heart
venison lung
venison liver
venison kidney",new zealand green mussel,None,Fiber:,2.00%,"Venison, Venison Tripe, Venison Heart, Venison Lung, Venison Liver, Venison Kidney, New Zealand Green Mussel, Venison Bone, Lecithin, Inulin from Chicory, Dried Kelp, Minerals (Dipotassium Phosphate, Magnesium Sulfate, Zinc Amino Acid Complex, Copper Amino Acid Complex, Iron Amino Acid Complex, Manganese Amino Acid Complex, Sodium Selenite), Salt, Preservative (Citric Acid, Mixed Tocopherols), Vitamins (Choline Chloride, Thiamine Mononitrate, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), DL-Methionine, Taurine.","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
ZiwiPeak Air-Dried Venison Recipe,https://catfooddb.com/chewy/best-dry-cat-food/%252Fziwi-peak-air-dried-venison-cat-food%252Fdp%252F34565,"venison
venison tripe
venison heart
venison lung
venison liver
venison kidney",new zealand green mussel,None,Carbs:,4.00%,"Venison, Venison Tripe, Venison Heart, Venison Lung, Venison Liver, Venison Kidney, New Zealand Green Mussel, Venison Bone, Lecithin, Inulin from Chicory, Dried Kelp, Minerals (Dipotassium Phosphate, Magnesium Sulfate, Zinc Amino Acid Complex, Copper Amino Acid Complex, Iron Amino Acid Complex, Manganese Amino Acid Complex, Sodium Selenite), Salt, Preservative (Citric Acid, Mixed Tocopherols), Vitamins (Choline Chloride, Thiamine Mononitrate, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), DL-Methionine, Taurine.","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
ZiwiPeak Air-Dried Venison Recipe,https://catfooddb.com/chewy/best-dry-cat-food/%252Fziwi-peak-air-dried-venison-cat-food%252Fdp%252F34565,"venison
venison tripe
venison heart
venison lung
venison liver
venison kidney",new zealand green mussel,None,Ash:,12.00%,"Venison, Venison Tripe, Venison Heart, Venison Lung, Venison Liver, Venison Kidney, New Zealand Green Mussel, Venison Bone, Lecithin, Inulin from Chicory, Dried Kelp, Minerals (Dipotassium Phosphate, Magnesium Sulfate, Zinc Amino Acid Complex, Copper Amino Acid Complex, Iron Amino Acid Complex, Manganese Amino Acid Complex, Sodium Selenite), Salt, Preservative (Citric Acid, Mixed Tocopherols), Vitamins (Choline Chloride, Thiamine Mononitrate, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), DL-Methionine, Taurine.","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
ZiwiPeak Air-Dried Venison Recipe,https://catfooddb.com/chewy/best-dry-cat-food/%252Fziwi-peak-air-dried-venison-cat-food%252Fdp%252F34565,"venison
venison tripe
venison heart
venison lung
venison liver
venison kidney",new zealand green mussel,None,Moisture:,14.00%,"Venison, Venison Tripe, Venison Heart, Venison Lung, Venison Liver, Venison Kidney, New Zealand Green Mussel, Venison Bone, Lecithin, Inulin from Chicory, Dried Kelp, Minerals (Dipotassium Phosphate, Magnesium Sulfate, Zinc Amino Acid Complex, Copper Amino Acid Complex, Iron Amino Acid Complex, Manganese Amino Acid Complex, Sodium Selenite), Salt, Preservative (Citric Acid, Mixed Tocopherols), Vitamins (Choline Chloride, Thiamine Mononitrate, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), DL-Methionine, Taurine.","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Dr Elsey's Cleanprotein Chicken Formula Grain-free,https://catfooddb.com/chewy/best-dry-cat-food/dr-elseys-cleanprotein-chicken%252Fdp%252F146269,chicken,salmon oil,None,Protein:,59.00%,"Chicken, dried egg product, gelatin, chicken fat (preserved with mixed tocopherols], pork protein isolate, flaxseed, natural flavor, salmon oil, potassium citrate, fructooligosaccharide, choline chloride, vitamins (vitamin E supplement, niacin supplement, d-calcium pantothenate, vitamin A acetate, thiamine mononitrate, pyridoxine hydrochloride, riboflavin supplement, vitamin D3 supplement, biotin, vitamin B12 supplement, folic acid], calcium carbonate, minerals (zinc sulfate, ferrous sulfate, iron proteinate, copper sulfate, zinc proteinate, manganous oxide, manganese proteinate, copper proteinate, calcium iodate, sodium selenite], potassium chloride, taurine, salt, mixed tocopherols (preservative], dicalcium phosphate, rosemary extract","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
Dr Elsey's Cleanprotein Chicken Formula Grain-free,https://catfooddb.com/chewy/best-dry-cat-food/dr-elseys-cleanprotein-chicken%252Fdp%252F146269,chicken,salmon oil,None,Fat:,18.00%,"Chicken, dried egg product, gelatin, chicken fat (preserved with mixed tocopherols], pork protein isolate, flaxseed, natural flavor, salmon oil, potassium citrate, fructooligosaccharide, choline chloride, vitamins (vitamin E supplement, niacin supplement, d-calcium pantothenate, vitamin A acetate, thiamine mononitrate, pyridoxine hydrochloride, riboflavin supplement, vitamin D3 supplement, biotin, vitamin B12 supplement, folic acid], calcium carbonate, minerals (zinc sulfate, ferrous sulfate, iron proteinate, copper sulfate, zinc proteinate, manganous oxide, manganese proteinate, copper proteinate, calcium iodate, sodium selenite], potassium chloride, taurine, salt, mixed tocopherols (preservative], dicalcium phosphate, rosemary extract","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
Dr Elsey's Cleanprotein Chicken Formula Grain-free,https://catfooddb.com/chewy/best-dry-cat-food/dr-elseys-cleanprotein-chicken%252Fdp%252F146269,chicken,salmon oil,None,Fiber:,4.00%,"Chicken, dried egg product, gelatin, chicken fat (preserved with mixed tocopherols], pork protein isolate, flaxseed, natural flavor, salmon oil, potassium citrate, fructooligosaccharide, choline chloride, vitamins (vitamin E supplement, niacin supplement, d-calcium pantothenate, vitamin A acetate, thiamine mononitrate, pyridoxine hydrochloride, riboflavin supplement, vitamin D3 supplement, biotin, vitamin B12 supplement, folic acid], calcium carbonate, minerals (zinc sulfate, ferrous sulfate, iron proteinate, copper sulfate, zinc proteinate, manganous oxide, manganese proteinate, copper proteinate, calcium iodate, sodium selenite], potassium chloride, taurine, salt, mixed tocopherols (preservative], dicalcium phosphate, rosemary extract","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
Dr Elsey's Cleanprotein Chicken Formula Grain-free,https://catfooddb.com/chewy/best-dry-cat-food/dr-elseys-cleanprotein-chicken%252Fdp%252F146269,chicken,salmon oil,None,Carbs:,1.00%,"Chicken, dried egg product, gelatin, chicken fat (preserved with mixed tocopherols], pork protein isolate, flaxseed, natural flavor, salmon oil, potassium citrate, fructooligosaccharide, choline chloride, vitamins (vitamin E supplement, niacin supplement, d-calcium pantothenate, vitamin A acetate, thiamine mononitrate, pyridoxine hydrochloride, riboflavin supplement, vitamin D3 supplement, biotin, vitamin B12 supplement, folic acid], calcium carbonate, minerals (zinc sulfate, ferrous sulfate, iron proteinate, copper sulfate, zinc proteinate, manganous oxide, manganese proteinate, copper proteinate, calcium iodate, sodium selenite], potassium chloride, taurine, salt, mixed tocopherols (preservative], dicalcium phosphate, rosemary extract","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
Dr Elsey's Cleanprotein Chicken Formula Grain-free,https://catfooddb.com/chewy/best-dry-cat-food/dr-elseys-cleanprotein-chicken%252Fdp%252F146269,chicken,salmon oil,None,Ash:,6.00%,"Chicken, dried egg product, gelatin, chicken fat (preserved with mixed tocopherols], pork protein isolate, flaxseed, natural flavor, salmon oil, potassium citrate, fructooligosaccharide, choline chloride, vitamins (vitamin E supplement, niacin supplement, d-calcium pantothenate, vitamin A acetate, thiamine mononitrate, pyridoxine hydrochloride, riboflavin supplement, vitamin D3 supplement, biotin, vitamin B12 supplement, folic acid], calcium carbonate, minerals (zinc sulfate, ferrous sulfate, iron proteinate, copper sulfate, zinc proteinate, manganous oxide, manganese proteinate, copper proteinate, calcium iodate, sodium selenite], potassium chloride, taurine, salt, mixed tocopherols (preservative], dicalcium phosphate, rosemary extract","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
Dr Elsey's Cleanprotein Chicken Formula Grain-free,https://catfooddb.com/chewy/best-dry-cat-food/dr-elseys-cleanprotein-chicken%252Fdp%252F146269,chicken,salmon oil,None,Moisture:,12.00%,"Chicken, dried egg product, gelatin, chicken fat (preserved with mixed tocopherols], pork protein isolate, flaxseed, natural flavor, salmon oil, potassium citrate, fructooligosaccharide, choline chloride, vitamins (vitamin E supplement, niacin supplement, d-calcium pantothenate, vitamin A acetate, thiamine mononitrate, pyridoxine hydrochloride, riboflavin supplement, vitamin D3 supplement, biotin, vitamin B12 supplement, folic acid], calcium carbonate, minerals (zinc sulfate, ferrous sulfate, iron proteinate, copper sulfate, zinc proteinate, manganous oxide, manganese proteinate, copper proteinate, calcium iodate, sodium selenite], potassium chloride, taurine, salt, mixed tocopherols (preservative], dicalcium phosphate, rosemary extract","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
